"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Algeria","DZA","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.42835","","","","","","","","","","",
"East Asia & Pacific (excluding high income)","EAP","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.640765","12.7549","16.20455","","14.1703","","","14.94431","14.03864","14.51142","15.46688","12.15085","15.72172","15.20574","","","","","",
"Early-demographic dividend","EAR","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.73051","16.63913","16.32349","16.34301","15.613485","","17.74273","16.89739","17.81619","","16.4092","15.60798","15.81547","15.921315","16.530995","","","","",
"East Asia & Pacific","EAS","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.248715","16.22293","","16.24383","","","15.534485","14.240315","15.239","16.22262","15.393935","18.09042","17.60393","13.036425","","","","",
"Europe & Central Asia (excluding high income)","ECA","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.485135","12.36196","13.60351","12.49294","12.55235","12.62011","12.89539","11.94462","12.8005","12.848825","","11.62665","12.560635","","12.764035","11.16566","12.6662","","",
"Europe & Central Asia","ECS","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.84667","","11.445615","11.76006","11.8693","12.31345","12.36966","12.161355","12.55235","12.23599","12.66541","11.94462","12.53078","11.84732","11.66053","11.73966","12.180085","12.10501","12.163095","12.03053","","","",
"Ecuador","ECU","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.84614","6.66582","4.9573","","","","","","","","","13.17257","12.99656","11.97611","11.53415","11.44254","12.06831","12.78786","","","",
"Egypt, Arab Rep.","EGY","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.3519","14.74871","15.04361","11.01859","11.20964","10.9418","","","","","","","","","","",
"Euro area","EMU","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.11246","9.61649999999999","","10.61525","10.86484","","10.48541","10.430705","10.63163","10.70875","","10.81141","11.30227","11.07563","12.09401","12.02215","11.52533","11.7214","11.1742","11.358175","11.62496","11.90371","11.626985","11.16603","11.73966","11.62662","11.467355","11.624875","11.62452","","","",
"Eritrea","ERI","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.91513","","6.25092","5.56554","","5.86161","5.63338","","5.74185","","5.16807","","","","","","","","","","","","",
"Spain","ESP","Government expenditure on education, total (% of government expenditure)","SE.XPD.TOTL.GB.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.8213","9.61525999999999","10.31713","10.11695","10.00686","9.70611","10.0219","10.24136","10.63163","10.70875","","10.48723","10.69392","10.66263","10.71261","10.709","10.88755","10.72426","10.77912","10.88591","10.84699","10.9364","10.63257","10.56192","10.61811","9.21341","9.49991","9.54349","9.77103999999999","","","",
